curr
ID,PE1,PE2,PE3,PE4,PE5,PE6
20,20,20,20,20,20,20
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
20,20,20,20,20,20,20
10,7,10,10,10,0,0
9,6,9,9,9,0,0
8,5,8,8,8,0,0
20,4,20,20,20,0,0
13,3,13,0,0,13,13
12,2,12,0,0,12,12
11,1,11,0,0,11,11
20,20,20,0,0,20,20
16,16,0,16,16,0,0
15,15,0,15,15,0,0
14,14,0,14,14,0,0
20,0,0,0,0,0,0
19,0,19,0,0,19,19
18,0,18,0,0,18,18
17,0,17,0,0,17,17
par
ID,PE1,PE2,PE3,PE4,PE5,PE6
7,7,7,7,7,7,7
6,6,6,6,6,6,6
5,5,5,5,5,5,5
4,4,4,4,4,4,4
3,3,3,3,3,3,3
2,2,2,2,2,2,2
1,1,1,1,1,1,1
0,0,0,0,0,0,0
10,7,10,10,10,13,13
9,6,9,9,9,0,0
8,5,8,8,8,0,0
0,4,0,0,0,0,0
13,3,13,16,16,0,0
12,2,12,0,0,12,12
11,1,11,0,0,11,11
0,0,0,0,0,0,0
16,16,19,0,0,19,19
15,15,0,15,15,0,0
14,14,0,14,14,0,0
0,0,0,0,0,0,0
19,0,0,0,0,0,0
18,0,18,0,0,18,18
17,0,17,0,0,17,17
0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,1,2,3,4,5,6
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,8,9,10,11,12
-1,7,13,14,15,11,12
-1,7,13,14,15,11,12
-1,7,13,14,15,11,12
-1,7,13,14,15,11,12
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
-1,16,17,14,15,18,19
