curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
20,20,20,20,20,20,20,20
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
20,20,20,20,20,20,20,20
10,10,10,10,0,0,0,0
9,9,9,9,0,0,0,0
8,8,8,8,0,0,0,0
20,20,20,20,0,0,0,0
13,0,0,0,13,13,13,0
12,0,0,0,12,12,12,0
11,0,0,0,11,11,11,0
20,0,0,0,20,20,0,0
16,16,16,0,0,0,0,16
15,15,15,0,0,0,0,15
14,14,14,0,0,0,0,14
20,0,0,0,0,0,0,0
19,0,0,19,19,19,0,0
18,0,0,18,18,18,0,0
17,0,0,17,17,17,0,0
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6
5,5,5,5,5,5,5,5
4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0
10,10,10,10,13,13,13,16
9,9,9,9,0,0,0,0
8,8,8,8,0,0,0,0
0,0,0,0,0,0,0,0
13,16,16,19,0,0,0,0
12,0,0,0,12,12,12,0
11,0,0,0,11,11,11,0
0,0,0,0,0,0,0,0
16,0,0,0,19,19,0,0
15,15,15,0,0,0,0,15
14,14,14,0,0,0,0,14
0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0
18,0,0,18,18,18,0,0
17,0,0,17,17,17,0,0
0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,1,2,3,4,5,6,7
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,8,9,10,11,12,13,14
-1,15,16,17,11,12,13,14
-1,15,16,17,11,12,13,14
-1,15,16,17,11,12,13,14
-1,15,16,17,11,12,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
-1,15,16,17,18,19,13,14
