curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
20,20,20,20,20,20,20,20,20
7,7,7,7,7,7,7,7,0
6,6,6,6,6,6,6,6,0
5,5,5,5,5,5,5,5,0
4,4,4,4,4,4,4,4,0
3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,0
1,1,1,1,1,1,1,1,0
20,20,20,20,20,20,20,20,0
10,10,10,0,0,0,0,0,10
9,9,9,0,0,0,0,0,9
8,8,8,0,0,0,0,0,8
20,20,20,0,0,0,0,0,20
13,0,0,13,13,13,0,0,0
12,0,0,12,12,12,0,0,0
11,0,0,11,11,11,0,0,0
20,0,0,20,0,0,0,0,0
16,16,0,0,0,0,16,16,0
15,15,0,0,0,0,15,15,0
14,14,0,0,0,0,14,14,0
20,0,0,0,0,0,0,0,0
19,0,19,19,0,0,0,0,19
18,0,18,18,0,0,0,0,18
17,0,17,17,0,0,0,0,17
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
7,7,7,7,7,7,7,7,10
6,6,6,6,6,6,6,6,0
5,5,5,5,5,5,5,5,0
4,4,4,4,4,4,4,4,0
3,3,3,3,3,3,3,3,0
2,2,2,2,2,2,2,2,0
1,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0
10,10,10,13,13,13,16,16,0
9,9,9,0,0,0,0,0,9
8,8,8,0,0,0,0,0,8
0,0,0,0,0,0,0,0,0
13,16,19,0,0,0,0,0,19
12,0,0,12,12,12,0,0,0
11,0,0,11,11,11,0,0,0
0,0,0,0,0,0,0,0,0
16,0,0,19,0,0,0,0,0
15,15,0,0,0,0,15,15,0
14,14,0,0,0,0,14,14,0
0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
18,0,18,18,0,0,0,0,18
17,0,17,17,0,0,0,0,17
0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,1,2,3,4,5,6,7,8
-1,9,10,11,12,13,14,15,8
-1,9,10,11,12,13,14,15,8
-1,9,10,11,12,13,14,15,8
-1,9,10,11,12,13,14,15,8
-1,16,17,11,12,13,14,15,18
-1,16,17,11,12,13,14,15,18
-1,16,17,11,12,13,14,15,18
-1,16,17,11,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
-1,16,17,19,12,13,14,15,18
