curr
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
20,20,20,20,20,20,20,20,20,20
7,7,7,7,7,7,7,7,0,0
6,6,6,6,6,6,6,6,0,0
5,5,5,5,5,5,5,5,0,0
4,4,4,4,4,4,4,4,0,0
3,3,3,3,3,3,3,3,0,0
2,2,2,2,2,2,2,2,0,0
1,1,1,1,1,1,1,1,0,0
20,20,20,20,20,20,20,20,0,0
10,10,0,0,0,0,0,0,10,10
9,9,0,0,0,0,0,0,9,9
8,8,0,0,0,0,0,0,8,8
20,20,0,0,0,0,0,0,20,20
13,0,13,13,13,0,0,0,0,0
12,0,12,12,12,0,0,0,0,0
11,0,11,11,11,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0
16,0,0,0,0,16,16,16,0,0
15,0,0,0,0,15,15,15,0,0
14,0,0,0,0,14,14,14,0,0
20,0,0,0,0,0,0,0,0,0
19,19,0,0,0,0,0,0,19,19
18,18,0,0,0,0,0,0,18,18
17,17,0,0,0,0,0,0,17,17
par
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
7,7,7,7,7,7,7,7,10,10
6,6,6,6,6,6,6,6,0,0
5,5,5,5,5,5,5,5,0,0
4,4,4,4,4,4,4,4,0,0
3,3,3,3,3,3,3,3,0,0
2,2,2,2,2,2,2,2,0,0
1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0
10,10,13,13,13,16,16,16,0,0
9,9,0,0,0,0,0,0,9,9
8,8,0,0,0,0,0,0,8,8
0,0,0,0,0,0,0,0,0,0
13,19,0,0,0,0,0,0,19,19
12,0,12,12,12,0,0,0,0,0
11,0,11,11,11,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
15,0,0,0,0,15,15,15,0,0
14,0,0,0,0,14,14,14,0,0
0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
18,18,0,0,0,0,0,0,18,18
17,17,0,0,0,0,0,0,17,17
0,0,0,0,0,0,0,0,0,0
derv
ID,PE1,PE2,PE3,PE4,PE5,PE6,PE7,PE8,PE9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,1,2,3,4,5,6,7,8,9
-1,10,11,12,13,14,15,16,8,9
-1,10,11,12,13,14,15,16,8,9
-1,10,11,12,13,14,15,16,8,9
-1,10,11,12,13,14,15,16,8,9
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
-1,17,11,12,13,14,15,16,18,19
